PRODUCT_AREA,TYPE_NAME_ENGLISH,count
Airpurifiers & accessories,Filter for particle removal,46
Airpurifiers & accessories,Filter for gas cleaning,12
Airpurifiers & accessories,2-piece filter set,10
Armchairs,Armchair,231
Armchairs,Chair,73
Armchairs,Easy chair,47
Armchairs,Armchair and ottoman,37
Armchairs,Cover for armchair,35
Armchairs,Armchair frame,24
Armchairs,Wing chair,8
Armchairs,Rocking chair,7
Artificial flowers,Artificial leaf,126
Artificial flowers,Artificial flower,87
Artificial flowers,Dried bouquet,78
Artificial flowers,Dried parts of flowers/plants,26
Artificial flowers,Artificial bouquet,20
Artificial flowers,Wreath,10
Artificial flowers,Artificial garland,6
Artificial flowers,Artificial spray,6
Artificial plants,Artificial potted plant,1583
Artificial plants,Artificial potted plant with pot,86
Artificial plants,"Artifi potted plant w pot, set of 3",34
Artificial plants,Artificial plant with wall holder,11
Artificial plants,Artificial plant,5
Baby eating & care,Plate,257
Baby eating & care,Bowl,201
Baby eating & care,Junior chair,184
Baby eating & care,18-piece cutlery set,177
Baby eating & care,Children's stool,165
Baby eating & care,Bib,161
Baby eating & care,Washcloth,141
Baby eating & care,Tumbler,139
Baby eating & care,Spoon,104
Baby eating & care,Children's potty,84
Baby eating & care,3-piece cutlery set,79
Baby eating & care,Toilet seat,47
Baby eating & care,Training beaker,39
Baby eating & care,Feeding and baby spoon,31
Baby eating & care,4-piece dinnerware set,28
Baby eating & care,Place mat,25
Baby eating & care,Baby towel with hood,21
Baby eating & care,Stor baskets changing tbl set of 4,20
Baby eating & care,Door stop,19
Baby eating & care,Corner bumper,18
Baby eating & care,Supporting cushion,17
Baby eating & care,Cover for babycare mat,11
Baby eating & care,Plate/bowl,11
Baby eating & care,Babycare mat,7
Baby eating & care,Muslin square,6
Baby sleep textiles,Duvet cover 1 pillowcase for cot,21
Baby sleep textiles,Blanket,19
Baby sleep textiles,Duvet cover 1 pillowcase for crib,17
Baby sleep textiles,Rug,14
Baby sleep textiles,Mattress protector,13
Baby sleep textiles,Baby blanket,7
