art_id,text
20423720,Extra shelves. These extra shelves make waisted space not waisted. 
20275814,White cubes. This unit works great for TV components and radio speakers. Plus the baskets hide all accessories underneath the components. 
40409935,Bookshelf. All my extra books fit on the shelves. The baskets help hold the extra stuff that won’t look nice exposed. 
80275887,"Kallax. Nice clean look, sturdy and easy to put together"
10391041,Great bookshelves. We bought 4 of these and made a library wall with them. Looks great and holds lots of books.
80275887,Love this product!. This product is the perfect solution for my small space
20213312,Great for my plants. Instructions can be confusing but the shelf is a great price and perfect for my plants.
00415599,White Kallax Shelves. These shelves are perfect! I bought the 9 cubbie and the 4 cubbie and put them side by side in my closet. They look so nice and professional. They provide so much extra storage. I will probably buy more for the upstairs closet as well. I hired the Task Rabbit to put them together and that was a great experience. Thank you IKEA for such a nice product.
50481172,Easy to assemble.. Easy to assemble.
60221683,Finally no MDF!. Finally no MDF!
10275862,"Cost Cutting Garbage, ignore Older Reviews. I bought one of these guys in 2015 and it went together like a breeze - its still standing after being moved across the state several times. This one I got in 2024 - EVERY shelf piece is hollow with their cardboard honeycomb stuff inside (formerly plywood) and MUCH thinner wall structure on each piece. The shelves flexed so badly it doesn't slot together and leaves huge gaps, plus we knocked a hole into the side panel of it with a soft rubber mallet trying to get it lined up. And yet, Ikea has the gall to charge more for it? Spare me, please."
60221683,"Patience with the assembly pays off.. I ordered two of these for my living space. The units are solid and seem durable. However, patience is key in getting these assembled in a way that the vertical supports don't torque themselves into alignments that aren't squared up in the corners. Get all four vertical pieces barely attached, and then go around tightening each corner a few turns at a time under all are fully tightened. It'll take longer this way but you'll be happier with the end result. If you tighten them one by one you'll find that the vertical supports won't square up well, and you'll end up having to undo them all to correct the problem. Slow and steady wins this race."
60221683,"Very sturdy and sleek. Super easy to assemble, sturdy materials and construction.  I love how thin looking the shelves are: makes all your items really pop out.  Being able to choose the shelves spacing is a plus.  Sturdy enough for large books."
60221683,"Minimal & pleasing storage solution. Love this shelf! It allows a lot more light into a dark room, has ample storage, & is very sturdy. It has a clean, classic look that is very minimalist.   It does require two people to build, but with lockdown I had to build it alone. So I used thick books as risers to stabilize the pieces as I was building and it was a huge success — with no bowing or any issues.  Could not be happier with this shelf. If only the smaller version was not discontinued! Wish I had more space so more space so I could get another one."
89442641,Love it. Exactly what I wanted. Looks great and easy to assemble. 
80275887,Love it!! . I love this product! It does exactly what I need it to do! 
