art_id,core_keyphrases
39286266,"modern, attaches to wall, Doesn't close,"
60333954,"Fits in space perfectly, Difficult to assemble,"
79278269,"added door and drawer inserts, Perfect size, Best storage, Customizable, Good price, Perfect for 12"" vinyl albums, easy to assemble,"
10275862,"Great shelving, well-designed, quickly assembled,"
89221055,"Makes organize, looks amazing,"
79294523,"tricky assembly, quality product,"
70301542,"Nice and sturdy, Great storage space, easily assemble, loose construction,"
30324507,"good instructions, doors prone to coming off, charging stations for electronics, This sentence doesn't contain any descriptive keywords or characteristics for the product.,"
80401292,"great use of space, well-built, Handy for craft supplies, for kallax shelves, holds wine bottles, Easy to assemble,"
9442720,"Sewing & craft room, sturdy, Great item, the sentiment is clearly positive., Main form of storage, larger cubes, love look, covers vent, I cannot generate a keyphrase for each key characteristic from the given sentence as it only repeated the same keyphrase ""Great for my craft room"". However,"
19442654,"(No additional characteristics or sentiments given in the sentence), Great shelve,"
39285827,"As intended, sturdy box, hung on wall, Looks great, Easy assembly, but could potentially lead to future positive sentiment if the desire is met)., multiple colors, Love these, measurement tool,"
9275085,"Price, no specific key characteristics mentioned in the sentence., great quality,"
89278278,"bought second unit, perfect size, doors,"
90301555,"several sizes, works well, sturdy, great storage space, great value, easy to assemble, looks good, Arrived damaged,"
49481658,"glad I bought, Perfect desk,"
89294532,"easy to assemble, sturdy, games, allows light, Looks great, changes room vibe, Affordable, Sentiment 1, great shelving unit,"
49294529,"easy to put together, Display shelves,"
80275887,"well-designed, Great shelving, meets needs, Easily assembled,"
50339292,"Made storage space, good quality, doors not aligned, Easy to assemble,"
20275885,"nice and solid, easy access, Perfect storage unit,"
29197572,"awesome, Particle board,"
90495695,"quality control, Perfect fit, great for sorting, cube storage, Does not fit, needed darker color, fabric roll organization, Easy to assemble,"
59902658,"Well made, misleading website picture,"
90324509,"perfect use, craft supplies, fits easily, Looks great, using drawer and door inserts, perfect for games, wonderful storage, Love these, wide enough for two rows of books,"
19552949,"Small space, I like it,"
39442691,"Great Shelf, ease of assembly,"
80334603,"Well-made, Difficult to assemble,"
40510863,"installation hardware not included, well-made,"
49294548,"used as TV stand, Looks fantastic,"
89435221,"Perfect size, Product was difficult to put together,"
89442622,"mismatched legs, used as record stand,"
19278328,"Excellent quality, Drawers, easy assembly,"
49442676,"good value, functional, added inserts, easy assembly, can raise up on legs, storage below,"
