Art ID,Optimal Number of Clusters
embeddings_89386107.csv.pkl,8
embeddings_39442672.csv.pkl,1
embeddings_70538846.csv.pkl,7
embeddings_415599.csv.pkl,6
embeddings_29481683.csv.pkl,2
embeddings_79552913.csv.pkl,1
embeddings_29442663.csv.pkl,8
embeddings_50324511.csv.pkl,6
embeddings_70301542.csv.pkl,6
embeddings_40501892.csv.pkl,7
embeddings_39329384.csv.pkl,4
embeddings_80401292.csv.pkl,7
embeddings_39442686.csv.pkl,4
embeddings_99017445.csv.pkl,5
embeddings_20454504.csv.pkl,4
embeddings_90495596.csv.pkl,3
embeddings_501889.csv.pkl,5
embeddings_49294529.csv.pkl,3
embeddings_50334591.csv.pkl,6
embeddings_79278250.csv.pkl,3
embeddings_60278170.csv.pkl,5
embeddings_70339291.csv.pkl,8
embeddings_79294523.csv.pkl,2
embeddings_89278259.csv.pkl,7
embeddings_9442640.csv.pkl,3
embeddings_69336359.csv.pkl,1
embeddings_49285817.csv.pkl,5
embeddings_90510865.csv.pkl,2
embeddings_40415601.csv.pkl,6
embeddings_49481658.csv.pkl,3
embeddings_40346924.csv.pkl,7
embeddings_59902658.csv.pkl,5
embeddings_29278304.csv.pkl,7
embeddings_59425916.csv.pkl,1
embeddings_19490273.csv.pkl,2
embeddings_29481659.csv.pkl,5
embeddings_10324513.csv.pkl,4
embeddings_89294532.csv.pkl,3
embeddings_89442679.csv.pkl,4
embeddings_79442694.csv.pkl,4
embeddings_79278293.csv.pkl,8
embeddings_19442710.csv.pkl,3
embeddings_10409932.csv.pkl,8
embeddings_275848.csv.pkl,8
embeddings_9442720.csv.pkl,4
embeddings_69329387.csv.pkl,6
embeddings_50339292.csv.pkl,8
embeddings_19285833.csv.pkl,4
embeddings_39278290.csv.pkl,6
embeddings_59442713.csv.pkl,2
embeddings_69481681.csv.pkl,2
embeddings_19278328.csv.pkl,6
embeddings_99294517.csv.pkl,8
embeddings_49294548.csv.pkl,5
embeddings_79285830.csv.pkl,6
embeddings_80428852.csv.pkl,7
embeddings_20275814.csv.pkl,6
embeddings_39017486.csv.pkl,6
embeddings_324518.csv.pkl,7
embeddings_20213312.csv.pkl,4
embeddings_79294542.csv.pkl,3
embeddings_9442621.csv.pkl,2
embeddings_80512959.csv.pkl,3
embeddings_79521356.csv.pkl,2
embeddings_90305803.csv.pkl,4
embeddings_40334558.csv.pkl,8
embeddings_19931865.csv.pkl,6
embeddings_20510864.csv.pkl,2
embeddings_60221683.csv.pkl,6
embeddings_99442645.csv.pkl,2
embeddings_50454507.csv.pkl,7
embeddings_89285820.csv.pkl,8
embeddings_10345073.csv.pkl,4
embeddings_10487816.csv.pkl,7
embeddings_40303439.csv.pkl,6
embeddings_70309840.csv.pkl,7
embeddings_9189200.csv.pkl,8
embeddings_40314640.csv.pkl,7
embeddings_59481653.csv.pkl,2
embeddings_59189127.csv.pkl,2
embeddings_9442616.csv.pkl,2
embeddings_9442664.csv.pkl,2
embeddings_9481684.csv.pkl,3
embeddings_19442654.csv.pkl,2
embeddings_19278253.csv.pkl,6
embeddings_59278307.csv.pkl,7
embeddings_314642.csv.pkl,6
embeddings_90286649.csv.pkl,7
embeddings_40311873.csv.pkl,7
embeddings_20423720.csv.pkl,5
embeddings_10305741.csv.pkl,7
embeddings_89442655.csv.pkl,2
embeddings_9294526.csv.pkl,5
embeddings_80334603.csv.pkl,6
embeddings_49336341.csv.pkl,6
embeddings_59442685.csv.pkl,8
embeddings_10305802.csv.pkl,7
embeddings_79442627.csv.pkl,7
embeddings_50305739.csv.pkl,6
embeddings_79552908.csv.pkl,2
embeddings_49442718.csv.pkl,2
embeddings_79442712.csv.pkl,1
embeddings_90562166.csv.pkl,2
embeddings_9017483.csv.pkl,4
embeddings_89307643.csv.pkl,3
embeddings_90428842.csv.pkl,7
embeddings_49307640.csv.pkl,2
embeddings_90324509.csv.pkl,6
embeddings_89442721.csv.pkl,3
embeddings_9278338.csv.pkl,3
embeddings_10391041.csv.pkl,3
embeddings_29481701.csv.pkl,4
embeddings_80303437.csv.pkl,6
embeddings_9481698.csv.pkl,1
embeddings_29294554.csv.pkl,2
embeddings_39285827.csv.pkl,5
embeddings_9442678.csv.pkl,6
embeddings_90495695.csv.pkl,5
embeddings_60530577.csv.pkl,3
embeddings_29442620.csv.pkl,2
embeddings_39285808.csv.pkl,6
embeddings_30324507.csv.pkl,5
embeddings_20473593.csv.pkl,7
embeddings_49442643.csv.pkl,2
embeddings_89442622.csv.pkl,2
embeddings_9275085.csv.pkl,6
embeddings_39442691.csv.pkl,4
embeddings_10538849.csv.pkl,6
embeddings_70301537.csv.pkl,8
embeddings_49275088.csv.pkl,6
embeddings_80487813.csv.pkl,8
embeddings_49481700.csv.pkl,3
embeddings_19386101.csv.pkl,4
embeddings_70483274.csv.pkl,5
embeddings_19294535.csv.pkl,2
embeddings_388633.csv.pkl,6
embeddings_89278278.csv.pkl,4
embeddings_20415193.csv.pkl,5
embeddings_9398675.csv.pkl,2
embeddings_10477935.csv.pkl,3
embeddings_99490274.csv.pkl,2
embeddings_89442641.csv.pkl,8
embeddings_60510862.csv.pkl,6
embeddings_29278262.csv.pkl,6
embeddings_70286645.csv.pkl,7
embeddings_49398678.csv.pkl,3
embeddings_9398722.csv.pkl,2
embeddings_59189472.csv.pkl,1
embeddings_40324516.csv.pkl,6
embeddings_89278301.csv.pkl,7
embeddings_80556236.csv.pkl,3
embeddings_20409936.csv.pkl,5
embeddings_29481678.csv.pkl,3
embeddings_19442692.csv.pkl,4
embeddings_90301555.csv.pkl,5
embeddings_79278269.csv.pkl,6
embeddings_79197584.csv.pkl,3
embeddings_30530574.csv.pkl,5
embeddings_29197572.csv.pkl,6
embeddings_59442628.csv.pkl,2
embeddings_60275812.csv.pkl,8
embeddings_40415192.csv.pkl,4
embeddings_99294560.csv.pkl,3
embeddings_19552949.csv.pkl,2
embeddings_20301554.csv.pkl,7
embeddings_80275887.csv.pkl,7
embeddings_79442665.csv.pkl,2
embeddings_59294557.csv.pkl,3
embeddings_29442677.csv.pkl,7
embeddings_69442680.csv.pkl,6
embeddings_29442615.csv.pkl,6
embeddings_29336356.csv.pkl,4
embeddings_80508504.csv.pkl,5
embeddings_50481172.csv.pkl,5
embeddings_60324520.csv.pkl,3
embeddings_79278325.csv.pkl,6
embeddings_89221055.csv.pkl,4
embeddings_10275862.csv.pkl,7
embeddings_40409935.csv.pkl,7
embeddings_334536.csv.pkl,7
embeddings_70342199.csv.pkl,8
embeddings_89398718.csv.pkl,3
embeddings_49306872.csv.pkl,6
embeddings_89275091.csv.pkl,8
embeddings_30495599.csv.pkl,5
embeddings_39932538.csv.pkl,4
embeddings_69442642.csv.pkl,3
embeddings_99017186.csv.pkl,4
embeddings_40275846.csv.pkl,4
embeddings_69190936.csv.pkl,2
embeddings_99442674.csv.pkl,2
embeddings_49442676.csv.pkl,6
embeddings_89442617.csv.pkl,5
embeddings_20278167.csv.pkl,6
embeddings_99481694.csv.pkl,2
embeddings_70391038.csv.pkl,8
embeddings_99306860.csv.pkl,8
embeddings_80483283.csv.pkl,7
embeddings_20275885.csv.pkl,6
embeddings_40510863.csv.pkl,5
embeddings_59442666.csv.pkl,3
embeddings_89278297.csv.pkl,3
embeddings_40423719.csv.pkl,5
embeddings_79902657.csv.pkl,3
embeddings_19189030.csv.pkl,2
embeddings_50214678.csv.pkl,8
embeddings_99932540.csv.pkl,5
embeddings_20305745.csv.pkl,6
embeddings_89435221.csv.pkl,5
embeddings_10221685.csv.pkl,3
embeddings_19278272.csv.pkl,5
embeddings_79442689.csv.pkl,8
embeddings_30275861.csv.pkl,4
embeddings_59189033.csv.pkl,2
embeddings_59552914.csv.pkl,4
embeddings_49189203.csv.pkl,6
embeddings_69278335.csv.pkl,4
embeddings_39286266.csv.pkl,5
embeddings_70332124.csv.pkl,5
embeddings_50483289.csv.pkl,4
embeddings_70388639.csv.pkl,7
embeddings_60333954.csv.pkl,6
