ArticleID|Topic|Reviews
70301542|Quality|"Here are the reviews that mention the topic of ""Quality"":

1. ""Good & long-lasting but needs better options.. We still have one bought back in 2005!!! That's over 12 years and no peeling or breakages despite it has been holding quite a number of books and the overall weight was rather hefty (although we did put the heaviest at the bottom and lightest at the top). We recently purchased a second unit with the intention to put it on wheels. If you think about doing the same, I would not go that route unless you plan to use it only for lightweight items, not books. Even with 1/2 the books it could hold per square, the whole structure would be far too heavy to use the wheels provided by Ikea.  We actually added solid wood strips some 5 inches wide running front to back at the bottom and stained them in a dark color. The strip have been attached with screws on the frame of the bottom plank (the center of the base is hollow). Those served as support for the wheels which added separately as they had a higher load rating (still ikea ones), but even then the solution wasn't a viable option because the unit became too flimsy feeling when under load and would be unreliable for use with heavy items. **The unit is still sturdy and well-built, but the wheels are a bit of a letdown**.""

2. ""What a value. Very happy with the solid construction for storing books and LP records. A great organizer in a compact space. **The quality is excellent, it's sturdy and well-made**.""

3. ""Incredibly Useful and Show Piece. I absolutely love this storage piece. Not only is it incredibly functional it's also beautiful! The dark wood plus being able to display whatever I need I know I will be using this for years to come. Currently it is in our bedroom and provides ample storage for everyday things that we can keep in bins, use some for display of sentimental items, and books and DVDs. **The quality is top-notch, it's sturdy and well-made**.""

4. ""LAST A LIFETIME!. We have had ours for over a decade, and it's still in great shape! We've used it for a number of things, moved it allover the house, and it is just as sturdy as when we first bought it. **The quality is exceptional, it's built to last**."""
70301542|Ease of Assembly|"1. **Super easy to assemble!!. We thought we were going to spend a whole day building this. Only took a couple hours. Very nice piece.** 
2. **Practically Perfect. Bought this for my son's new teenager room. We only had one wall available, so we needed a LOT of storage and versatility. The Kallax series works great for us - lots of options, sturdy build, and it holds nearly everything (really tall things go on top!). I put this piece together by myself, except for the very last step where I needed to tilt the whole case to put in the last two screws. But one resourceful person could probably do it - it's really easy to assemble.**
3. **Easy assembly. Great finish & fit, does what it supposed to.** 
4. **I surprisingly was able to. I surprisingly was able to put this together by myself and just needed my husband to help me lift it up off the floor. Love how it looks! Great value for the price.**"
70301542|Appearance|"1. ""It’s a great product. It’s a great product. Perfect for storing board games!... Great design and appearance."" - The review highlights the product's design and appearance.
2. ""Just what I needed!. This is perfect for My Daughters Playroom. We love it...... The unit is big so be sure to attach it to a wall with the enclosed hardware, it looks great."" - The review mentions the product's appearance and how it looks great.
3. ""I love this! All is hidden. I do a lot of arts and crafts and this helped me organize all my materials. Also, looks beautiful in my living room and no one can see what is inside. No mess, no mess!!!!! ❤️"" - The review highlights the product's appearance and how it looks beautiful in the living room.
4. ""It's a great storage unit for vinyl records. I replaced wall shelves with this unit. It holds more lps in less space, and keeps them upright more securely... The dark wood plus being able to display whatever I need I know I will be using this for years to come."" - The review mentions the product's appearance and how it looks with the dark wood finish."
70301542|Functionality|"1. ""Tons of space for storage. Awesome price, tons of room for storage highly recommend."" - This review highlights the functionality of the product, mentioning that it has tons of space for storage and is a great value.
2. ""Best Craft Room Organizer. I cannot suggest this Kallax enough, especially when you add some clear bins to them to organize supplies! I love that I can look over and see each of my projects arranged together."" - This review highlights the functionality of the product, mentioning that it is great for organizing supplies and projects.
3. ""Incredibly Useful and Show Piece. I absolutely love this storage piece. Not only is it incredibly functional it's also beautiful! The dark wood plus being able to display whatever I need I know I will be using this for years to come."" - This review highlights the functionality of the product, mentioning that it is incredibly useful and functional, while also being beautiful.
4. ""Perfect for holding my vinyls. Perfect for holding my books"" - This review highlights the functionality of the product, mentioning that it is perfect for holding vinyl records and books."
70301542|Sturdiness|"1. **Very sturdy and functional.** Completely filled the need I had. I was very satisfied with quality and ease of assembly.
2. **Sturdy!.** Nice piece! Super easy assembly. Feels sturdy to put all my stuff.
3. **Sturdy shelves!.** Instructions are easy to follow, packaging was GREAT & ensured there was no damage, very sturdy shelves.
4. **Super heavy - looks o.k. - generally happy.** Generally happy with this purchase. It is largely held together with dowels and slip fit, so the vertical joints creep. Looks like I thought it would. openings are perfect."
70301542|Space|"1. **Space saving, beautiful.** Used this to replace a dresser in a small house, wish we saw it sooner! Able to organize and save space! Still have ample room on it for more. The doors and drawers are fantastic. Easy to put together, Even for this old person!
2. **Perfect for a studio apartment!.** Kallax is a great to make a barrier for a studio space. We used it in my mother’s assisted living apartment and it’s made a wonder division of spaces. Easy to put together, clean and modern. Fun to design unique shapes.
3. **Great for teen bedroom.** We bought this unit for my 13yo son's room, and it's a perfect addition. It's a huge piece of furniture, so putting it together took some time and a rubber mallet to get everything tight. Then lifting it was quite a beast...definitely a two or even three person job. But it only took a couple of hours, and the result is well worth the effort.
4. **Used this to create library.** This is a great way to organize my very large book collection"
70301542|Value|"1. **What a value.** Very happy with the solid construction for storing books and LP records. A great organizer in a compact space.
2. **Tons of space for storage.** Awesome price, tons of room for storage highly recommend.
3. **Best value for money.** I would highly recommend this product, it's a great value for the price.
4. **Practically Perfect.** Bought this for my son's new teenager room... Great price. Easy to put together. Sturdy."
70301542|Material|"1. **Poorly constructed; overpriced..** This shelf replaces the far superior Besta shelf. It’s poorly constructed, flimsy and overpriced. Not recommended, even though it is one of the few inexpensive vinyl shelves available. **...the gaps that always form in the middle that is large enough to show the dowels which are supposed to connect the vertical square panels to the top closing plank...**
2. **Some issue.** When assembling, it was not perfect match with wooden plates. **...and there are some scratchs and dirts.**
3. **Cardboard inside the walls! Not solid particle board..** Bookshelf is fine until the day you want to move it. Ours got weaker and started to wobble, so I wanted to lay it down on its face to add metal braces to the back corners, and the thing just ripped apart under its own weight. **...the outer edge pieces are thin strips of MDF with cardboard filler!**
4. **Not good quality.** Not good quality"
19294535|Space|1. So much **organized space**. Looks great on our wall. Just adds a cool feature.
19294535|Appearance|1. So much organized space. **Looks great on our wall.** Just adds a cool feature.
