ArticleID,Topic,Reviews
70301542,Quality,"**Kallak shelves are excellent.**. We have 5 of these shelving units in our house.  My wife uses them for her art supplies.  They were delivered to my house and brought upstairs.  Assembly is easy.  **Great units.**| Perfect **for vinyl record storage**. Must mount it though. This is perfect **for my album collection**. I used metal wall anchors from the hardware store to mount all four corners to the wall. I have about 900 vinyl albums and this holds them perfectly. As always follow the directions. Assembling on a **carpet using a level are important**. I also added wood glue to all the dowels **so they stay solid**. | **Nice product**. I would love to see them add **a way to secure them to each** other on the sides but over all it looks great.| Space saving, beautiful. Used this to replace a dresser in a small house, wish we saw it sooner! Able to organize and save space! Still have ample room on it for more. The doors **and drawers are fantastic**. 
Easy to put together , Even for this old person!"
70301542,Ease of Assembly,"Kallak shelves are excellent.. We have 5 of these shelving units in our house.  My wife uses them for her art supplies.  They were delivered to my house and brought upstairs.  **Assembly is easy**.  Great units.| Perfect for vinyl record storage. Must mount it though. This is perfect for my album collection. I used metal wall anchors from the hardware store to mount all four corners to the wall. I have about 900 vinyl albums and this holds them perfectly. As always follow the directions. **Assembling on a carpet** using a level are important. I also added wood glue to all the dowels so they stay solid. | Love the modularity. I love the look of the shelf unit, **assembly was very easy,** and the idea of modules which are drawers, cabinets, or baskets is pure genius. Unfortunately it is not very stable and I suspect that it will need bracing before too long for it not to collapse.| Dowels do not fit into shelves. I've put together several of the smaller Kallax shelves over the year with no problem. Unfortunately, with this unit the dowels are too large and do not fit in the shelves. I called to complain after ruining a couple of the shelves and dowels, was sent a new one and had the same problem. I had to redrill all the holes so the dowels would fit - very time consuming for what should **be an easy assembly**. Noticed this complaint in other reviews and should have paid attention."
70301542,Appearance,"Nice product. I would love to see them add a way to secure them to each other on the sides but **over all it looks great.**| Love the modularity. **I love the look of the shelf** unit, assembly was very easy, and the idea of modules which are drawers, cabinets, or baskets is pure genius. Unfortunately it is not very stable and I suspect that it will need bracing before too long for it not to collapse.| Cardboard inside the walls! Not solid particle board.. Bookshelf is fine until the day you want to move it. Ours got weaker and started to wobble, so I wanted to lay it **down on its face to add metal** braces to the back corners, and the thing just ripped apart under its own weight. I am glad it did because I can see now that the outer edge pieces are thin strips of MDF with cardboard filler! I can't believe they can sell this as a safe product.| **Excellent and elegant**. Excellent does bookshelves and storage , **elegant and easily to** assemble."
70301542,Functionality,"Kallak shelves are excellent.. We have 5 of these shelving units in our house.  **My wife uses them for her** art supplies.  They were delivered to my house and brought upstairs.  Assembly is easy.  **Great units.**| Perfect **for vinyl record storage**. Must mount it though. This is perfect for my album collection. I used metal wall **anchors from the hardware store to mount** all four corners to the wall. I have about 900 vinyl **albums and this holds them perfectly**. As always follow the directions. Assembling **on a carpet using a level are** important. I also added wood glue to all the dowels **so they stay solid**. | **Nice product**. I would love to see them add **a way to secure them to each** other on the sides but over all it looks great.| **Space saving, beautiful**. Used this to replace a dresser in a small house, wish we saw it sooner! **Able to organize and** save space! Still have ample room on it for more. The doors and drawers are fantastic. 
Easy to put together , Even for this old person!"
70301542,Sturdiness,"Kallak shelves are excellent.. We have 5 of these shelving units in our house.  My wife uses them for her art supplies.  They were delivered to my house and brought upstairs.  Assembly is easy.  **Great units.**| Perfect **for vinyl record storage**. Must mount it though. This is perfect for my album collection. I used metal wall anchors from the hardware store to mount all four corners to the wall. I have about 900 vinyl **albums and this holds them perfectly**. As always follow the directions. Assembling on a carpet using a level are important. I also added wood glue to all the dowels **so they stay solid**. | Nice product. I would love to see them add **a way to secure them to each** other on the sides but over all it looks great.| Space saving, beautiful. Used this to replace a dresser in a small house, wish we saw it sooner! **Able to organize and** save space! Still have ample room on it for more. The doors **and drawers are fantastic**. 
Easy to put together , Even for this old person!"
70301542,Space,"Kallak shelves are excellent.. We have 5 of these shelving units in our house.  My wife uses them for her art supplies.  They were delivered to my house and brought upstairs.  Assembly is easy.  **Great units.**| Perfect **for vinyl record storage**. Must mount it though. This is perfect **for my album collection**. I used metal wall anchors **from the hardware store to mount all** four corners to the wall. I have about 900 vinyl albums and this holds them perfectly. As always follow the directions. Assembling on a carpet using a level are important. I also added wood glue to all the dowels so they stay solid. | Nice product. **I would love to see them** add a way to secure them to each other on the sides but over all it looks great.| **Space saving, beautiful**. Used this to replace a dresser in a small house, wish we saw it sooner! Able to **organize and save space! Still have ample** room on it for more. The doors and drawers are fantastic. 
**Easy to put together** , Even for this old person!"
70301542,Value,"**Nice product**. I would love to see them add a way to secure them to each other on the sides but over all it looks great.| Cardboard inside the walls! Not solid particle board.. Bookshelf is fine until the day you want to move it. Ours got weaker and started to wobble, so I wanted to lay it down on its face to add metal braces to the back corners, and the thing just ripped apart under its own weight. I am glad it did because I can see now that the outer edge pieces are thin strips of MDF with cardboard filler! I can't believe they can sell this **as a safe product.**| Very sturdy and functional. Completely filled the need I had. I was **very satisfied with quality and ease of** asssembly.| Nearly perfect shelving unit. Firstly, I love my Kallax shelf unit. It works perfectly as a room divider for a small apartment and looks great overall. Definitely need at least two people to assemble, if only for the part where you sit the shelving unit right side up. I would give it five stars, however, multiple pieces arrived damaged (paint chipped off, multiple ~2 in gouges in the particle board). I'm sure Ikea would have replaced the damaged parts, but I was already at my wit's end after trying **to return another item over the course** of four weeks."
70301542,Material,"**Perfect for vinyl record storage**. Must mount it though. This is perfect for my album collection. **I used metal wall anchors from** the hardware store to mount all four corners to the wall. I **have about 900 vinyl albums and this** holds them perfectly. As always follow the directions. Assembling on a carpet using a level are important. **I also added wood glue to all** the dowels so they stay solid. | A huge bummer. Nearly finished building it when one of the screws simply would not screw in so tried to turn it to try a different angle, and a bunch **of the connecting wood pieces snapped and** lodged inside the shelves, impossible to get out. So can't finish putting it together and wasted the $270. Just terrible.| **Cardboard inside the walls!** Not solid particle board.. Bookshelf is fine until the day you want to move it. Ours got weaker and started to wobble, so I wanted to lay it down on its **face to add metal braces to the** back corners, and the thing just ripped apart under its own weight. I am glad it did because I can see now that the outer edge pieces are thin strips **of MDF with cardboard filler! I can't** believe they can sell this as a safe product.| Excellent LP records storage. **Minimalist and practical.**"
19294535,Space,**So much organized space**. Looks great on our wall. Just adds a cool feature.
19294535,Appearance,So much organized space. **Looks great on our** wall. Just adds a cool feature.
